type;n;algo;threshold;time_ms
random;56700;merge;0;2
random;56800;merge;0;2
random;56900;merge;0;2
random;57000;merge;0;2
random;57100;merge;0;2
random;57200;merge;0;2
random;57300;merge;0;2
random;57400;merge;0;2
random;57500;merge;0;2
random;57600;merge;0;2
random;57700;merge;0;2
random;57800;merge;0;2
random;57900;merge;0;2
random;58000;merge;0;2
random;58100;merge;0;2
random;58200;merge;0;2
random;58300;merge;0;2
random;58400;merge;0;2
random;58500;merge;0;2
random;58600;merge;0;2
random;58700;merge;0;2
random;58800;merge;0;2
random;58900;merge;0;2
random;59000;merge;0;2
random;59100;merge;0;2
random;59200;merge;0;2
random;59300;merge;0;2
random;59400;merge;0;2
random;59500;merge;0;2
random;59600;merge;0;2
random;59700;merge;0;2
random;59800;merge;0;2
random;59900;merge;0;2
random;60000;merge;0;2
random;60100;merge;0;2
random;60200;merge;0;2
random;60300;merge;0;2
random;60400;merge;0;2
random;60500;merge;0;2
random;60600;merge;0;2
random;60700;merge;0;2
random;60800;merge;0;2
random;60900;merge;0;2
random;61000;merge;0;2
random;61100;merge;0;2
random;61200;merge;0;2
random;61300;merge;0;2
random;61400;merge;0;2
random;61500;merge;0;2
random;61600;merge;0;2
random;61700;merge;0;2
random;61800;merge;0;2
random;61900;merge;0;2
random;62000;merge;0;2
random;62100;merge;0;2
random;62200;merge;0;2
random;62300;merge;0;2
random;62400;merge;0;2
random;62500;merge;0;2
random;62600;merge;0;2
random;62700;merge;0;2
random;62800;merge;0;2
random;62900;merge;0;2
random;63000;merge;0;2
random;63100;merge;0;2
random;63200;merge;0;2
random;63300;merge;0;2
random;63400;merge;0;2
random;63500;merge;0;2
random;63600;merge;0;2
random;63700;merge;0;2
random;63800;merge;0;2
random;63900;merge;0;2
random;64000;merge;0;2
random;64100;merge;0;2
random;64200;merge;0;2
random;64300;merge;0;2
random;64400;merge;0;2
random;64500;merge;0;2
random;64600;merge;0;2
random;64700;merge;0;2
random;64800;merge;0;2
random;64900;merge;0;2
random;65000;merge;0;2
random;65100;merge;0;2
random;65200;merge;0;2
random;65300;merge;0;2
random;65400;merge;0;2
random;65500;merge;0;2
random;65600;merge;0;2
random;65700;merge;0;2
